"Gene","log2FC","p_val","Instability_Score","Significant"
"LOC102915448",0.140182197589391,0.419333100675472,6.06656567247101,"Non-Significant"
"Hrg",-0.662984351775666,0.0932464017405926,6.05924598425683,"Non-Significant"
"",0.334407062191035,0.259446660373491,6.04506408646824,"Non-Significant"
"C2",0.185267084939355,0.155687477011797,6.038632850826,"Non-Significant"
"Fhl1",0.383707835868412,0.321314427408466,6.03426026923174,"Non-Significant"
"Calm2",0.718098291758146,0.0592050696823002,6.03359323777144,"Non-Significant"
"LOC102907317",0.0826157107674241,0.685408425553445,6.02098652616602,"Non-Significant"
"Igfals",-0.193457644860404,0.0202331160350266,6.00739380594273,"Non-Significant"
"Tkt",0.396850784629942,0.122501386627432,6.00414790174697,"Non-Significant"
"Pglyrp2",-0.0975841572325464,0.480399043365629,5.99815584859641,"Non-Significant"
"Prdx1",0.614925630293293,0.0490538025931574,5.99492382471738,"Significant"
"Cfl1",0.338026035968717,0.301051991576919,5.99394252893476,"Non-Significant"
"Atrn",0.129892029726694,0.328134958479555,5.99164740674219,"Non-Significant"
"Ca2",0.584316958515759,0.0302316695480168,5.9911195116628,"Non-Significant"
"Gp5",-0.234417183264286,0.24616947760151,5.983594317632,"Non-Significant"
"Psma5",-0.0381422011138373,0.818475212251469,5.97317134051011,"Non-Significant"
"Dpp4",0.585863451987217,0.0906277545277707,5.97086252771327,"Non-Significant"
"LOC10.1",-0.27918137928382,0.282735158592057,5.9675091183338,"Non-Significant"
"Actc1",0.346958099913596,0.242792612880392,5.96364478500531,"Non-Significant"
"Trpv3",-0.0791717478091911,0.382101226690077,5.95920383035442,"Non-Significant"
"Tuba4a",0.413367407596128,0.103906000856699,5.95624133574492,"Non-Significant"
"Adgrf5",-0.154717097131176,0.365060475102747,5.95424418075357,"Non-Significant"
"Tpm4",0.485241606587579,0.22294234848962,5.94259954984246,"Non-Significant"
"Psma3",-0.143757653188784,0.573415768818262,5.9290132995671,"Non-Significant"
"Ppia",0.339634881577522,0.169263224124364,5.92090851764186,"Non-Significant"
"Colec11",0.0682509707838843,0.551453975816748,5.91880488657957,"Non-Significant"
"Fbln1",0.0470459951414828,0.85970994295938,5.91037167691227,"Non-Significant"
"TfR1",0.0605328541200549,0.722671037102622,5.90146811421114,"Non-Significant"
"E",-0.441352058094967,0.0524179753712782,5.89182883578973,"Non-Significant"
"F7",0.118195896701341,0.693319855501399,5.89133035626,"Non-Significant"
"F9",-0.193123974174435,0.30618463314169,5.86907977464039,"Non-Significant"
"Sepp1",-0.312042961925957,0.00799967739042605,5.86797972779622,"Non-Significant"
"Pro",-0.144327011502147,0.324591425717899,5.83458635390184,"Non-Significant"
"Masp2",-0.122132661052113,0.0881161151042364,5.83180022512143,"Non-Significant"
"Angptl3",-0.0700334543706624,0.834307787984648,5.83063664558048,"Non-Significant"
"Pepd",0.164082132864728,0.189623284312799,5.82619592145601,"Non-Significant"
"Btd",0.0403707930910286,0.556332987077839,5.82561268958663,"Non-Significant"
"Pla2g7",0.321039970896633,0.165400499802635,5.81614790134305,"Non-Significant"
"Psma6",0.105269765733576,0.700658678043231,5.80497036175724,"Non-Significant"
"Klk1",-0.0750980313564451,0.694216317416785,5.79706555468321,"Non-Significant"
"Lcat",-0.165272877644441,0.444757505130686,5.79203614989754,"Non-Significant"
"Serpi",-0.273513388200913,0.168717242514704,5.78850694054669,"Non-Significant"
"Hsp",0.301501043098877,0.104716197532066,5.78411446720673,"Non-Significant"
"C1r",0.12904297693459,0.694097370448595,5.78245924798774,"Non-Significant"
"Idh1",0.454758176184162,0.0149624947846017,5.77787190115136,"Non-Significant"
"Cth",0.448862182424529,0.143331387437302,5.7708001909034,"Non-Significant"
"Qsox1",0.117281847720765,0.171974010052252,5.76392672728115,"Non-Significant"
"Psmb1",0.07093563184816,0.635282627372448,5.73914102841079,"Non-Significant"
"Psmb8",-0.0852287272243348,0.525646875152694,5.73488724028889,"Non-Significant"
"Psma4",0.264887467247005,0.235789999086255,5.72944056393778,"Non-Significant"
"Ctsd",0.223148528718886,0.0795999278935251,5.71842488018386,"Non-Significant"
"Lcp1",-0.0490034833698747,0.697084657812616,5.71396392654825,"Non-Significant"
"Eno1",0.400726219664531,0.126574898218752,5.7093163067933,"Non-Significant"
"F11",0.12404442399821,0.503847401382833,5.65763574272254,"Non-Significant"
"Tubb4a",0.524825190343543,0.0512052036047072,5.64489189831207,"Non-Significant"
