"Gene","Instability_Score"
"Abcc4",9.00852070543674
"Lilrb3",8.98727518830643
"Pfn2",8.98660335283127
"Top2b",8.97083937773939
"Galnt16",8.97049205579892
"Derl1",8.9280736439156
"Anxa6",8.92208614509464
"Actr5",8.91519819738978
"Pop1",8.91206777635208
"LOC128115873",8.89960986548315
"Pecr",8.88224390128472
"Igf2bp3",8.86775359463809
"LOC128093939",8.85371035835142
"Kat2b",8.85103298476273
"Pigl",8.84921205815648
"Dhx40",8.84085841542472
"Arpc4",8.83327331267273
"Lclat1",8.82526728942151
"Tcim",8.82383263514594
"Cbr4",8.80589299364042
"Rapgef5",8.79804511163098
"Arhgef38",8.79373635321513
"LOC128110253",8.78347468593487
"Rcn3",8.78301054165371
"Aasdhppt",8.77941666378716
"LOC128106527",8.76739011306898
"Tspyl2",8.76579643979251
"Ephx2",8.75562762011253
"Galns",8.75033986338994
"Zswim5",8.74618283057681
"Marchf6",8.74570854266367
"Ktn1",8.7440780461414
"Ppp6c",8.74151200869732
"Ccdc69",8.7265905600582
"Wdr20",8.72090993852069
"Lrig2",8.70381449119409
"Tspan7",8.69298884135826
"Rnaseh2b",8.68428785996313
"LOC128116413",8.67195815992445
"Zswim8",8.66531136676294
"Tob2",8.66419637219713
"Palmd",8.64923407770191
"Tmpo",8.62426556427078
"Dock7",8.61779822963005
"Rhoj",8.61263979136996
"Epha7",8.60351199391726
"LOC128108217",8.58895826680159
"Tbl3",8.58503045453832
"Ifit3",8.58263443880806
"Chordc1",8.57563213489729
"Epg5",8.57218236103003
"Prr12",8.56280708678671
"Upf2",8.5550877258796
"Ubb",8.55041488279361
"LOC128122523",8.55029968755268
"Lrrc61",8.54229981086833
"Grap2",8.51314779510593
"Eogt",8.50400686140814
"Lactb2",8.50323488191604
"Zfhx4",8.49910742344456
"Fmnl1",8.49822162047809
"Palld",8.48434589898036
"Pygo1",8.47948998212069
"Sema3c",8.47794392358795
"Taf8",8.47598708123783
"Ssr3",8.47409312316322
"Ptgis",8.47225686315072
"Tut4",8.47101410306959
"Rps6ka2",8.4703089586111
"Ildr2",8.47015565031411
"Ncapg2",8.46593839034162
"Lgals9",8.46007367351008
"Vps37a",8.45281575219892
"Dxo",8.45257234079837
"Tiparp",8.45059451868352
"Dbr1",8.44238243610843
"Prpsap1",8.43826804711019
"Agl",8.42001088216172
"Eapp",8.41269355168302
"Rad51c",8.41092462377221
"Ndnf",8.40885286204412
"Usp1",8.40883580876856
"Myo5c",8.40157845091515
"Ppp1r13b",8.3941414286578
"Slc38a7",8.3844658777837
"Qtrt2",8.36963340849949
"Zfyve21",8.3654904599883
"LOC128124403",8.3583129500566
"Traf3ip2",8.35791058015337
"Aurkb",8.34955472247303
"Bcl2l12",8.34265777853095
"Itm2c",8.3386886074534
"Lypd6b",8.32712227985499
"Gsto1",8.32014000310594
"Il7",8.30721499659773
"Chp1",8.30073147835621
"Ndufs5",8.30003101122694
"Bcas3",8.29840658690337
"Gclm",8.28207398658489
"Ifit2",8.27472971852864
"Gabrb3",8.26938046793126
"Ttll3",8.26311419281045
"Acbd6",8.26184731744078
"Crtac1",8.26149624140653
"Pip5k1a",8.26063289315599
"LOC128110256",8.25135181627841
"Mycl",8.24921786142684
"Smc1a",8.24732540871857
"Stx8",8.24703741487896
"Top1",8.24606080484181
"Slc5a2",8.24566154663268
"Gnb5",8.24250238308119
"Gin1",8.23801389534657
"B4galt6",8.23699838203926
"S100a11",8.23606239528453
"Nherf2",8.23566307198287
"Fam174b",8.22323059910108
"Gas8",8.21331086399418
"Itprip",8.21250654937192
"Lipa",8.20395567744794
"Ica1l",8.19297514468631
"Eif3g",8.19204942523697
"Pan2",8.18735296320615
"Slco3a1",8.18692604412853
