"Gene","PC1","PC2"
"LOC128114352",0.00705991375254705,0.0146765173050684
"Ppm1n",0.0021171959703492,0.0146752375494656
"LOC128097271",-0.00747774896201327,0.0146684964486192
"LOC128109200",-0.00751500402595269,0.0146581962032854
"LOC128095727",-0.00275337358049427,0.014658049367652
"LOC128102198",0.00544325026527165,-0.014648334239549
"Syp",-0.00947101040856601,-0.0146476682383607
"Ccm2l",0.00130259455396957,-0.0146435865427543
"LOC128098332",0.00744858629462617,0.0146332698256727
"Ctsw",-0.00234338347249741,0.0146320039662312
"LOC128114215",0.00785994835241293,0.0146251201765925
"Tpd52l1",0.00677481634311158,0.0146219659795072
"Hs2st1",0.00518295897292214,0.0146197142381029
"Csnk2a2",-0.00118780588620132,-0.014615150795584
"LOC128097576",0.00882523561253471,0.0146141816894341
"Trnat-ugu",-0.0108117683712193,0.0146138331570883
"Mcts1",-0.00353842538593109,-0.0146085886810961
"LOC128099313",0.0133356510759669,0.0146056143225542
"Jarid2",0.00401322707692518,0.0146056056713709
"Gzmk",-0.007556639022579,0.0146018895433626
"LOC128099169",-0.00189636488175269,0.0145982856916688
"Btnl9",0.0017627042594672,-0.0145907860527743
"Uprt",-0.000487270711458169,-0.0145902714911013
"Foxf2",-0.002633562435578,0.014587355284169
"Nptn",0.00398009325934379,-0.0145757637527443
"Gip",0.00930235407308594,0.0145731390105406
"Mrps22",-0.00772711588710011,0.014571940339978
"Smim3",-0.00609703365970686,0.0145652523098641
"Slc25a30",-0.00311288340272038,0.0145645865817905
"Phrf1",-0.000524159705485665,-0.0145578690779812
"LOC128098061",-0.00619896749900305,0.0145576845726951
"LOC128113638",-0.00865228503501695,0.0145571524172525
"Dennd1c",0.00668121116600765,0.014553406031176
"LOC128100177",-0.00690257447462607,0.0145451691485346
"Cxcr5",-0.00166142158546988,0.0145435627622088
"LOC128105223",-0.00229635001314382,0.014536649996983
"Cdc42bpa",-0.00468008838033314,-0.0145363525720983
"LOC128104155",-0.00273593934864657,0.0145273141737199
