"Gene","Instability_Score"
"SNORD12C",0.268003232603766
"RNU6-135P",0.267638740929009
"RP4-717I23.2",0.267412267327872
"AMBP",0.266809413228988
"MIR4733",0.266238100548529
"AC069282.6",0.264932559079108
"RP11-568K15.2",0.264930841016728
"APOE",0.264899585676945
"SNORA60",0.264690876620424
"UPK1A",0.26436756311365
"EPCAM",0.264338829409906
"RP11-649E7.8",0.264038712574696
"SNORD17",0.263791798182616
"HNF4A",0.263149506592441
"NOV",0.262741964073106
"RNU6-36P",0.262212372953486
"RP11-137H2.4",0.261796620710033
"CTA-253N17.1",0.261712256021244
"RNU6-2",0.261080119722188
"SCAANT1",0.260703998266815
"HSPA1A",0.260627242519669
"MIR4786",0.260510994641052
"MIR548V",0.260510994641052
"RP11-248E9.1",0.259837429791838
"SNORA47",0.258310268686963
"HMGB1P10",0.258270294608585
"RP11-271C24.2",0.257974096568452
"RP11-529G21.2",0.257612174611877
"PFKFB4",0.257272305018713
"P3H2",0.256934016516479
"RNU5E-10P",0.256338152204257
"RP11-410L14.2",0.256027252761681
"CLIC3",0.255425232074733
"AP1M2",0.2548448088824
"NFKBIZ",0.254496634899246
"CTD-2562J17.6",0.254394703242853
"SNORD18",0.254256053078172
"MIR4771-2",0.253693200314374
"SNORD94",0.253281121147544
"RAB37",0.252658938195674
"RP4-631H13.6",0.25254028848691
"SULT2B1",0.25248512877368
"BHLHE40",0.252227203894804
"SNORD67",0.252111423876219
"CTD-2129N1.1",0.251540160386712
"CYP51A1",0.251090910167303
"SNORD9",0.251047631883688
"TCEB1P19",0.250823435148558
"CXCL8",0.250434895904525
"RP11-43A14.1",0.250406736350473
"RNU6-549P",0.250224640300293
"LA16c-429E7.1",0.249057892209839
"ST6GAL2-IT1",0.248641922120264
"RNU6-899P",0.24771445171832
"RNU6-20P",0.24771445171832
"CTD-2287O16.1",0.246965065909603
"RP11-344P13.1",0.246560386002518
"RP11-505K9.1",0.246499957769684
"FN1",0.245493467827653
"RP11-267J23.4",0.243924605944931
"GTF2IP23",0.243438635389777
"TP53INP2",0.242874713810267
"CFD",0.242760719839891
"RNU6-431P",0.242731817853208
"RP11-258C19.4",0.242532938411383
"RP4-545L17.11",0.242240652863247
"RP11-356O9.2",0.242156551586406
"RNA5SP111",0.242088397469389
"SERPINE2",0.241717343078009
"EREG",0.24121779864515
"TTLL6",0.241056149866949
"SNORA71A",0.240756216795686
"RP11-1112G13.3",0.24004526964782
"SNORA73B",0.239578553907253
"RNY4P37",0.239286274992569
"RNA5SP268",0.239126297477503
"RP11-305M3.2",0.239062663031311
"RNU7-115P",0.238606719633107
"EPS8L3",0.238432089441692
"MIR106B",0.238257715731943
"RPSAP9",0.238209152109853
"RNU6-181P",0.235768410580748
"RP1-89D4.1",0.234803000573521
"HIST2H2AC",0.234795728307609
"RNU6-1048P",0.234455729532
"CH507-42P11.8",0.234445393911269
