"Gene","PC1","PC2"
"CTDSPL",-0.00408188145626749,-0.0154174577818366
"PTGES3",-0.00236558258563947,0.0154029825590801
"RAE1",-0.00194052381812467,0.015401710382218
"C20orf194",-3.97045624552139e-05,-0.0153986372046928
"GTPBP10",-0.00165279201065237,0.0153876178016747
"LARP4",-0.00039578049060342,0.0153745460373646
"NOL11",-0.00216302578588628,0.0153745242735454
"SET",-0.00561680639639273,0.015371826045776
"PPTC7",-0.00486666318881022,0.0153649712190792
"NOL10",-0.00340450294278285,0.015335131462356
"CHAC2",0.00244807360370592,0.0153311631583732
"C19orf48",-0.0024976990961135,0.0153040875367505
"NAE1",0.00570310048662589,0.0152989567918645
"RPL22L1",-0.00333664543983095,0.0152865034831069
"DDX10",-0.0014629783507073,0.0152833537905968
"SYNCRIP",0.00479013057499528,0.0152805159915318
"MARCH2",0.00296984848029944,-0.0152788746092724
"CACNA1H",0.00589430349078111,-0.0152785474306018
"MRPL1",0.00328827313657386,0.0152772957487241
"ALDH1A1",0.00354339459374643,-0.0152652163310216
"YARS",-0.00200306169558015,0.0152362491006046
"PGAP3",0.00153823311915224,-0.0152362462907324
"ABCF2",0.00235628149427576,0.0152264875512914
"PRICKLE2",0.00243742405696776,-0.015217149826463
"CARNMT1",-0.00491927969832063,0.015211701525166
"TP53INP2",0.00342314517816292,-0.0152078255704313
"ZNF33B",0.00595587257096576,-0.0152047210912327
"GPAT3",-0.000724019158273345,0.0151936001260626
"USP14",0.000966618793771916,0.0151849886052442
"STAT2",0.000146476615107564,-0.0151844824348031
"SORT1",0.00347607603575428,-0.0151735617872204
"OSBPL8",0.00216945860207741,0.0151722154955047
"TPCN1",0.000114333249358686,-0.015171324008047
"RP11-132A1.4",-0.00288277974847613,0.0151702465437162
"DCAF13",-0.00610794681781837,0.0151614924823875
"FBXO45",0.00165795487793483,0.0151582696482831
"RBM28",0.00366573194331966,0.0151371269954959
"CHORDC1",-0.00605015158527548,0.0151243614433211
"MB21D1",-0.00308310090306468,0.0151129522211309
"XPO1",0.00248677837664654,0.0151096767388918
"YWHAG",0.00673373302740466,0.0151086573985831
"PCED1A",-0.000561676031901021,-0.0151060864339929
"RPS26",0.00554657633462813,0.015093295677961
"GALNT2",0.00209241944634744,0.0150894890977333
"RPF2",0.00571026858645364,0.015078056244377
"SLC1A5",0.0033283763838884,0.0150630632454881
"MAPKAP1",0.000354131432063448,0.0150602512305923
"NDUFAF4",0.00103628194671447,0.0150587462443828
"CCT2",-0.00718507869891466,0.0150534596537686
"GEMIN5",-0.00455494273924644,0.0150530785167265
"PPARA",0.00240916886118432,-0.0150497251408435
"MRPL42",-0.00451074152665468,0.0150470168049162
"GFM1",-0.00376181359868054,0.015041046175571
"TOMM40",0.000820519673702446,0.0150303267745824
